Date,WWTP_inlet Flow_rate,p10_1 Flow_rate,p_2_1 Flow_rate,CSO_Pump_2 Flow_rate,p_20_2 Flow_rate,p_21_2 Flow_rate,link_CSO_Pump_21_Flow_rate
02/01/2020 17:15,0,0,0.038257275,0,0.015,0,0
02/01/2020 17:30,0.299965531,0,0,0,0.015,0,0
02/01/2020 17:45,0,0,0.038528901,0,0.015,0,0
02/01/2020 18:00,0.333332986,0.001186887,0,0,0,0.025,0
02/01/2020 18:15,0,0,0,0,0.00094,0,0
02/01/2020 18:30,0,0,0,0,0,0,0
02/01/2020 18:45,0,0,0,0,0,0,0
02/01/2020 19:00,0,0,0.002777999,0,0,0,0
02/01/2020 19:15,0,0,0,0,0.00094,0,0
02/01/2020 19:30,0,0,0.002265784,0,0,0,0
02/01/2020 19:45,0,0,0,0,0,0,0
02/01/2020 20:00,0,0,0,0,0,0,0
02/01/2020 20:15,0,0,0,0,0.00094,0,0
02/01/2020 20:30,0,0,0,0,0,0,0
02/01/2020 20:45,0,0,0,0,0,0,0
02/01/2020 21:00,0,0,0.002263136,0,0,0,0
02/01/2020 21:15,0,0,0,0,0.00094,0,0
02/01/2020 21:30,0,0,0.002519946,0,0,0,0
02/01/2020 21:45,0,0,0,0,0,0,0
02/01/2020 22:00,0,0,0,0,0,0,0
02/01/2020 22:15,0.333332986,0,0.015134382,0,0.015,0,0
02/01/2020 22:30,0,0,0,0,0,0,0
02/01/2020 22:45,0,0,0,0,0,0,0
02/01/2020 23:00,0,0,0.002534574,0,0,0,0
02/01/2020 23:15,0,0,0,0,0.015,0,0
02/01/2020 23:30,0,0,0.002268459,0,0,0,0
02/01/2020 23:45,0,0,0,0,0,0,0
03/01/2020 00:00,0,0,0,0,0,0,0
03/01/2020 00:15,0,0,0.014575006,0,0.015,0,0
03/01/2020 00:30,0,0,0,0,0,0,0
03/01/2020 00:45,0,0,0,0,0,0,0
03/01/2020 01:00,0,0,0.002286093,0,0,0,0
03/01/2020 01:15,0,0,0,0,0.015,0,0
03/01/2020 01:30,0,0,0.00249977,0,0,0,0
03/01/2020 01:45,0,0,0,0,0,0,0
03/01/2020 02:00,0,0,0,0,0,0,0
03/01/2020 02:15,0,0,0.013747673,0,0.015,0,0
03/01/2020 02:30,0,0,0,0,0,0,0
03/01/2020 02:45,0,0,0,0,0,0,0
03/01/2020 03:00,0,0,0.000731897,0,0,0,0
03/01/2020 03:15,0,0,0,0,0.015,0,0
03/01/2020 03:30,0,0,0.002287736,0,0,0,0
03/01/2020 03:45,0,0,0,0,0,0,0
03/01/2020 04:00,0,0,0,0,0,0,0
03/01/2020 04:15,0,0,0.018747605,0,0.015,0,0
03/01/2020 04:30,0.333332986,0,0,0,0,0,0
03/01/2020 04:45,0,0,0,0,0,0,0
03/01/2020 05:00,0,0,0.002819418,0,0,0,0
03/01/2020 05:15,0,0,0,0,0.015,0,0
03/01/2020 05:30,0,0,0.000720626,0,0,0,0
03/01/2020 05:45,0,0,0,0,0,0,0
03/01/2020 06:00,0,0,0,0,0,0,0
03/01/2020 06:15,0,0,0.333332986,0,0.015,0,0
03/01/2020 06:30,0,0,0,0,0,0.025,0
03/01/2020 06:45,0,0,0.333332986,0,0.015,0,0
03/01/2020 07:00,0.333332986,0,0,0,0,0,0
03/01/2020 07:15,0,0,0.333332986,0,0.015,0,0
03/01/2020 07:30,0,0,0,0,0,0,0
03/01/2020 07:45,0,0,0.333332986,0,0.015,0,0
03/01/2020 08:00,0,0,0,0,0,0,0
03/01/2020 08:15,0,0,0,0,0,0,0
03/01/2020 08:30,0,0,0.017141035,0,0.0047,0,0
03/01/2020 08:45,0.0071,0,0,0,0,0,0
03/01/2020 09:00,0,0,0.007034685,0,0.0047,0,0
03/01/2020 09:15,0,0,0,0,0,0,0
03/01/2020 09:30,0,0,0.045317374,0,0.015,0.006539035,0
03/01/2020 09:45,0.031811025,0,0,0,0.015,0,0
03/01/2020 10:00,0,0,0.030591326,0,0.015,0,0
03/01/2020 10:15,0.017039999,0,0,0,0,0,0
03/01/2020 10:30,0,0,0.024954684,0,0.015,0,0
03/01/2020 10:45,0,0,0,0,0.015,0,0
03/01/2020 11:00,0.074141368,0,0.05528314,0,0.015,0.016073747,0
03/01/2020 11:15,0,0,0,0,0,0,0
03/01/2020 11:30,0,0,0.043353118,0,0.015,0,0
03/01/2020 11:45,0.017039999,0,0,0,0.015,0,0
03/01/2020 12:00,0,0,0.042667523,0,0.015,0,0
03/01/2020 12:15,0.041658375,0,0,0,0.01128,0.018323449,0
03/01/2020 12:30,0,0,0.191964567,0,0,0,0
03/01/2020 12:45,0.333332986,0.272222996,0,0,0.015,0.025,0
03/01/2020 13:00,0.333332986,0.052539706,0.041558031,0,0.015,0.00408,0
03/01/2020 13:15,0.333332986,0,0,0,0.015,0,0
03/01/2020 13:30,0.333332986,0.272222996,0.020760586,0,0.015,0,0
03/01/2020 13:45,0.333332986,0.272222996,0,0,0.015,0,0
03/01/2020 14:00,0.333332986,0.272222996,0.048779007,0,0.015,0.01787938,0
03/01/2020 14:15,0.333332986,0.000792131,0,0,0.015,0,0
03/01/2020 14:30,0.333332986,0,0.033879973,0,0.015,0,0
03/01/2020 14:45,0.333332986,0.000777091,0.333332986,0,0.015,0,0
03/01/2020 15:00,0.333332986,0,0.055841152,0,0.015,0.025,0
03/01/2020 15:15,0.333332986,0,0,0,0.015,0.003086646,0
03/01/2020 15:30,0.333332986,0,0.03375572,0,0.015,0,0
03/01/2020 15:45,0.333332986,0.272222996,0.346958786,0,0.015,0,0
03/01/2020 16:00,0.333332986,0,0.333332986,0,0.015,0.025,0
03/01/2020 16:15,0.333332986,0,0.064013481,0,0.015,0.025,0
03/01/2020 16:30,0.333332986,0,0,0,0.015,0.005937175,0
03/01/2020 16:45,0.333332986,0,0.037847035,0,0.015,0,0
03/01/2020 17:00,0,0,0,0,0.015,0,0
03/01/2020 17:15,0,0,0.037514277,0,0.015,0,0
03/01/2020 17:30,0.017039999,0,0,0,0.015,0,0
03/01/2020 17:45,0,0,0.03987968,0,0.015,0,0
03/01/2020 18:00,0.017039999,0,0,0,0.015,0.025,0
03/01/2020 18:15,0,0,0.0206722,0,0.015,0,0
03/01/2020 18:30,0,0,0,0,0.015,0,0
03/01/2020 18:45,0,0,0.013468474,0,0.015,0,0
03/01/2020 19:00,0.00142,0,0,0,0.015,0,0
03/01/2020 19:15,0,0,0.014444789,0,0.015,0,0
03/01/2020 19:30,0,0,0,0,0.015,0,0
03/01/2020 19:45,0,0,0.002508618,0,0,0,0
03/01/2020 20:00,0,0,0,0,0,0,0
03/01/2020 20:15,0,0,0,0,0,0,0
03/01/2020 20:30,0,0,0.00088829,0,0.00094,0,0
03/01/2020 20:45,0,0,0,0,0,0,0
03/01/2020 21:00,0,0,0,0,0,0,0
03/01/2020 21:15,0,0,0.001423459,0,0,0,0
03/01/2020 21:30,0,0,0,0,0.00094,0,0
03/01/2020 21:45,0,0,0.001431615,0,0,0,0
03/01/2020 22:00,0,0,0,0,0,0,0
03/01/2020 22:15,0,0,0,0,0,0,0
03/01/2020 22:30,0,0,0.003136691,0,0.00094,0,0
03/01/2020 22:45,0.001413364,0,0,0,0,0,0
03/01/2020 23:00,0,0,0,0,0,0,0
03/01/2020 23:15,0,0,0.00173518,0,0,0,0
03/01/2020 23:30,0,0,0,0,0.00094,0,0
03/01/2020 23:45,0,0,0.001727858,0,0,0,0
04/01/2020 00:00,0,0,0,0,0,0,0
04/01/2020 00:15,0,0,0,0,0,0,0
04/01/2020 00:30,0,0,0.000867002,0,0.00094,0,0
04/01/2020 00:45,0,0,0,0,0,0,0
04/01/2020 01:00,0,0,0,0,0,0,0
04/01/2020 01:15,0,0,0.002542337,0,0,0,0
04/01/2020 01:30,0,0,0,0,0.00094,0,0
04/01/2020 01:45,0,0,0.002537392,0,0,0,0
04/01/2020 02:00,0,0,0,0,0,0,0
04/01/2020 02:15,0,0,0,0,0,0,0
04/01/2020 02:30,0,0,0.003136166,0,0.00094,0,0
04/01/2020 02:45,0,0,0,0,0,0,0
04/01/2020 03:00,0,0,0,0,0,0,0
04/01/2020 03:15,0,0,0.001523575,0,0,0,0
04/01/2020 03:30,0,0,0,0,0.00094,0,0
04/01/2020 03:45,0,0,0.001520895,0,0,0,0
04/01/2020 04:00,0,0,0,0,0,0,0
04/01/2020 04:15,0,0,0,0,0,0,0
04/01/2020 04:30,0,0,0.000877507,0,0.00094,0,0
04/01/2020 04:45,0.001412928,0,0,0,0,0,0
04/01/2020 05:00,0,0,0,0,0,0,0
04/01/2020 05:15,0,0,0.001742834,0,0,0,0
04/01/2020 05:30,0,0,0,0,0.00094,0,0
04/01/2020 05:45,0,0,0.00173902,0,0,0,0
04/01/2020 06:00,0,0,0,0,0,0,0
04/01/2020 06:15,0,0,0.012539687,0,0.0047,0,0
04/01/2020 06:30,0,0,0,0,0,0,0
04/01/2020 06:45,0,0,0.043305974,0,0.0047,0.025,0
04/01/2020 07:00,0.007100277,0,0,0,0,0,0
04/01/2020 07:15,0,0,0.017776748,0,0.0047,0,0
04/01/2020 07:30,0,0,0,0,0,0,0
04/01/2020 07:45,0,0,0.016226696,0,0.0047,0,0
04/01/2020 08:00,0,0,0,0,0,0,0
04/01/2020 08:15,0,0,0.011880112,0,0.0047,0,0
04/01/2020 08:30,0.007100543,0,0,0,0,0,0
04/01/2020 08:45,0,0,0.011982231,0,0.0047,0,0
04/01/2020 09:00,0,0,0,0,0,0,0
04/01/2020 09:15,0,0,0.03822881,0,0.015,0,0
04/01/2020 09:30,0.017039999,0,0,0,0.015,0.025,0
04/01/2020 09:45,0,0,0.021505414,0,0,0,0
04/01/2020 10:00,0.017039999,0,0,0,0.015,0,0
04/01/2020 10:15,0,0,0.039408959,0,0.015,0,0
04/01/2020 10:30,0.017039999,0,0,0,0.015,0,0
04/01/2020 10:45,0,0,0.028174311,0,0,0,0
04/01/2020 11:00,0,0,0,0,0.015,0.025,0
04/01/2020 11:15,0.201221302,0,0.038804121,0,0.015,0,0
04/01/2020 11:30,0,0,0,0,0.015,0,0
04/01/2020 11:45,0,0,0.021472741,0,0,0,0
04/01/2020 12:00,0.017039999,0,0,0,0.015,0,0
04/01/2020 12:15,0,0,0.038166266,0,0.015,0,0
04/01/2020 12:30,0.017039999,0,0,0,0.015,0.025,0
04/01/2020 12:45,0,0,0.027474236,0,0,0,0
04/01/2020 13:00,0.017039999,0,0,0,0.015,0,0
04/01/2020 13:15,0,0,0.026772875,0,0.015,0,0
04/01/2020 13:30,0,0,0,0,0,0,0
04/01/2020 13:45,0,0,0.034799457,0,0.015,0,0
04/01/2020 14:00,0.01140366,0,0,0,0,0,0
04/01/2020 14:15,0,0,0.028256696,0,0.015,0,0
04/01/2020 14:30,0,0,0,0,0,0.025,0
04/01/2020 14:45,0,0,0.028602861,0,0.015,0,0
04/01/2020 15:00,0.047821555,0,0,0,0,0,0
04/01/2020 15:15,0,0,0.032294072,0,0.015,0,0
04/01/2020 15:30,0,0.000813766,0,0,0,0,0
04/01/2020 15:45,0.056636315,0,0.03164009,0,0.015,0,0
04/01/2020 16:00,0,0,0,0,0,0,0
04/01/2020 16:15,0,0,0.037836853,0,0.015,0,0
04/01/2020 16:30,0.017039999,0,0,0,0.015,0.025,0
04/01/2020 16:45,0,0,0.019087452,0,0,0,0
04/01/2020 17:00,0.017039949,0,0,0,0.015,0,0
04/01/2020 17:15,0,0,0.038286373,0,0.015,0,0
04/01/2020 17:30,0.017040003,0,0,0,0.015,0,0
04/01/2020 17:45,0,0,0.021165241,0,0,0,0
04/01/2020 18:00,0,0,0,0,0.015,0.025,0
04/01/2020 18:15,0,0,0.002480988,0,0.00094,0,0
04/01/2020 18:30,0.081151687,0,0,0,0,0,0
04/01/2020 18:45,0,0,0,0,0,0,0
04/01/2020 19:00,0,0,0.002128458,0,0,0,0
04/01/2020 19:15,0,0,0,0,0.00094,0,0
04/01/2020 19:30,0,0,0.000959661,0,0,0,0
04/01/2020 19:45,0,0,0,0,0,0,0
04/01/2020 20:00,0,0,0,0,0,0,0
04/01/2020 20:15,0,0,0.002432236,0,0.00094,0,0
04/01/2020 20:30,0,0,0,0,0,0,0
04/01/2020 20:45,0,0,0,0,0,0,0
04/01/2020 21:00,0,0,0.000656089,0,0,0,0
04/01/2020 21:15,0,0,0,0,0.00094,0,0
04/01/2020 21:30,0,0,0.000583182,0,0,0,0
04/01/2020 21:45,0,0,0,0,0,0,0
04/01/2020 22:00,0,0,0,0,0,0,0
04/01/2020 22:15,0,0,0.003287509,0,0.00094,0,0
04/01/2020 22:30,0,0,0,0,0,0,0
04/01/2020 22:45,0,0,0,0,0,0,0
04/01/2020 23:00,0,0,0.002677622,0,0,0,0
04/01/2020 23:15,0,0,0,0,0.00094,0,0
04/01/2020 23:30,0,0,0.002518697,0,0,0,0
04/01/2020 23:45,0,0,0,0,0,0,0
05/01/2020 00:00,0,0,0,0,0,0,0
05/01/2020 00:15,0,0,0.002309909,0,0.00094,0,0
05/01/2020 00:30,0.034766588,0,0,0,0,0,0
05/01/2020 00:45,0,0,0,0,0,0,0
05/01/2020 01:00,0,0,0.002307795,0,0,0,0
05/01/2020 01:15,0,0,0,0,0.00094,0,0
05/01/2020 01:30,0,0,0.002343278,0,0,0,0
05/01/2020 01:45,0,0,0,0,0,0,0
05/01/2020 02:00,0,0,0,0,0,0,0
05/01/2020 02:15,0,0,0.003651768,0,0.00094,0,0
05/01/2020 02:30,0,0,0,0,0,0,0
05/01/2020 02:45,0,0,0,0,0,0,0
05/01/2020 03:00,0,0,0.000817405,0,0,0,0
05/01/2020 03:15,0,0,0,0,0.00094,0,0
05/01/2020 03:30,0,0,0.002511618,0,0,0,0
05/01/2020 03:45,0,0,0,0,0,0,0
05/01/2020 04:00,0,0,0,0,0,0,0
05/01/2020 04:15,0,0,0.003897615,0,0.00094,0,0
05/01/2020 04:30,0,0,0,0,0,0,0
05/01/2020 04:45,0,0,0,0,0,0,0
05/01/2020 05:00,0,0,0.002512791,0,0,0,0
05/01/2020 05:15,0,0,0,0,0.00094,0,0
05/01/2020 05:30,0,0,0.002345893,0,0,0,0
05/01/2020 05:45,0,0,0,0,0,0,0
05/01/2020 06:00,0,0,0,0,0,0,0
05/01/2020 06:15,0.333332986,0,0.028257117,0,0.015,0,0
05/01/2020 06:30,0,0,0,0,0,0.025,0
05/01/2020 06:45,0,0,0.021875538,0,0.015,0,0
05/01/2020 07:00,0,0,0,0,0,0,0
05/01/2020 07:15,0,0,0.020906014,0,0.015,0,0
05/01/2020 07:30,0.333332986,0,0,0,0,0,0
05/01/2020 07:45,0,0,0.021993451,0,0.015,0,0
05/01/2020 08:00,0,0,0,0,0,0,0
05/01/2020 08:15,0,0,0.029719375,0,0.015,0,0
05/01/2020 08:30,0,0,0,0,0,0,0
05/01/2020 08:45,0,0,0.023164243,0,0.015,0,0
05/01/2020 09:00,0.333332986,0,0,0,0,0,0
05/01/2020 09:15,0,0,0.064139135,0,0.015,0.025,0
05/01/2020 09:30,0.333332986,0,0,0,0.015,0,0
05/01/2020 09:45,0,0,0.297938377,0,0.015,0,0
05/01/2020 10:00,0.333332986,0,0,0,0,0,0
05/01/2020 10:15,0,0,0.035012256,0,0.015,0,0
05/01/2020 10:30,0,0,0,0,0.015,0,0
05/01/2020 10:45,0.333332986,0,0.333332986,0,0.015,0.025,0
05/01/2020 11:00,0,0,0,0,0,0,0
05/01/2020 11:15,0,0,0.047234148,0,0.015,0,0
05/01/2020 11:30,0.333332986,0,0,0,0.015,0,0
05/01/2020 11:45,0,0,0.333332986,0,0.015,0,0
05/01/2020 12:00,0.333332986,0,0,0,0,0,0
05/01/2020 12:15,0,0,0.072899997,0,0.015,0.025,0
05/01/2020 12:30,0.333332986,0,0,0,0.015,0,0
05/01/2020 12:45,0,0,0.333332986,0,0.015,0,0
05/01/2020 13:00,0.333332986,0,0,0,0,0,0
05/01/2020 13:15,0,0,0.036676839,0,0.015,0,0
05/01/2020 13:30,0,0,0,0,0,0,0
05/01/2020 13:45,0,0,0,0,0.015,0,0
05/01/2020 14:00,0.333332986,0,0,0,0,0.025,0
05/01/2020 14:15,0,0,0.333332986,0,0.015,0,0
05/01/2020 14:30,0,0,0,0,0,0,0
05/01/2020 14:45,0.333332986,0,0.333332986,0,0.015,0,0
05/01/2020 15:00,0,0,0,0,0,0,0
05/01/2020 15:15,0,0.272222996,0.333332986,0,0.015,0,0
05/01/2020 15:30,0.333332986,0,0,0,0,0,0
05/01/2020 15:45,0,0,0.333332986,0,0.015,0,0
05/01/2020 16:00,0,0,0,0,0,0.025,0
05/01/2020 16:15,0,0,0.333332986,0,0.015,0,0
05/01/2020 16:30,0.333332986,0,0,0,0.015,0,0
05/01/2020 16:45,0.017039999,0,0,0,0.015,0,0
05/01/2020 17:00,0,0,0.037674189,0,0.01128,0,0
05/01/2020 17:15,0.017039999,0,0,0,0,0,0
05/01/2020 17:30,0,0,0.03247463,0,0.015,0,0
05/01/2020 17:45,0,0,0,0,0.015,0.012065816,0
05/01/2020 18:00,0.052448064,0,0.041193031,0,0.01130325,0,0
05/01/2020 18:15,0,0,0,0,0,0,0
05/01/2020 18:30,0,0,0,0,0,0,0
05/01/2020 18:45,0,0,0.001752359,0,0,0,0
05/01/2020 19:00,0,0,0,0,0.00094,0,0
05/01/2020 19:15,0,0,0.002226878,0,0,0,0
05/01/2020 19:30,0,0,0,0,0,0,0
05/01/2020 19:45,0,0,0,0,0,0,0
05/01/2020 20:00,0,0,0.003755097,0,0.00094,0,0
05/01/2020 20:15,0,0,0,0,0,0,0
05/01/2020 20:30,0,0,0,0,0,0,0
05/01/2020 20:45,0,0,0.002419495,0,0,0,0
05/01/2020 21:00,0,0,0,0,0.00094,0,0
05/01/2020 21:15,0,0,0.001440059,0,0,0,0
05/01/2020 21:30,0,0,0,0,0,0,0
05/01/2020 21:45,0,0,0,0,0,0,0
05/01/2020 22:00,0,0,0.00332948,0,0.00094,0,0
