Date,j_1 Hydraulic_head,j_10 Hydraulic_head,j_2_Hydraulic_head,j_20 Hydraulic_head,j_21 Hydraulic_head
02/01/2020 07:30,9.22881031,8.546415329,8.159329414,9.134597778,10.14687538
02/01/2020 07:45,9.284442902,8.551245689,7.796290398,8.902658463,10.16666031
02/01/2020 08:00,9.312059402,8.555878639,8.156475067,9.133835793,10.18312931
02/01/2020 08:15,9.346486092,8.560328484,7.796936035,8.940293312,10.19778919
02/01/2020 08:30,9.072130203,8.564596176,8.15019989,9.13304615,10.21090317
02/01/2020 08:45,9.190451622,8.568691254,7.801495075,8.979769707,10.22279835
02/01/2020 09:00,9.228286743,8.572627068,8.144661903,9.132304192,10.23357677
02/01/2020 09:15,9.320549965,8.581323624,7.802597523,9.217698097,10.25685978
02/01/2020 09:30,9.07631588,8.586874008,8.816976547,9.156991005,10.2208643
02/01/2020 09:45,9.302042007,8.590841293,7.799368382,9.194885254,10.11050606
02/01/2020 10:00,9.075111389,8.59441185,8.786230087,9.271942139,10.16864491
02/01/2020 10:15,9.272480965,8.597830772,7.801989079,9.219765663,10.20468521
02/01/2020 10:30,9.075111389,8.601114273,8.783660889,9.159398079,10.23265743
02/01/2020 10:45,9.255508423,8.604280472,7.796079636,9.193052292,10.25610542
02/01/2020 11:00,9.315598488,8.607338905,8.812263489,9.273953438,10.22445869
02/01/2020 11:15,9.245929718,8.610301971,7.800518513,9.222037315,10.10798168
02/01/2020 11:30,9.148358345,8.613157272,8.786099434,9.162042618,10.16746712
02/01/2020 11:45,9.296780586,8.615901947,7.803073406,9.191322327,10.20379925
02/01/2020 12:00,9.075122833,8.618549347,8.764182091,9.276037216,10.23195267
02/01/2020 12:15,9.268309593,8.621109962,7.801953316,9.224405289,10.25548172
02/01/2020 12:30,9.07512188,8.623603821,8.807149887,9.164801598,10.22798824
02/01/2020 12:45,9.297878265,8.626038551,7.794752121,9.189577103,10.10540485
02/01/2020 13:00,9.075588226,8.628417969,8.714176178,9.278105736,10.16629314
02/01/2020 13:15,9.245409012,8.629979134,7.799728394,9.167124748,10.19188118
02/01/2020 13:30,9.307649612,8.631516457,8.216795921,9.141842842,10.2131567
02/01/2020 13:45,9.35397625,8.63303566,7.800388813,9.186231613,10.23130417
02/01/2020 14:00,9.220085144,8.634538651,8.207830429,9.140641212,10.24734974
02/01/2020 14:15,9.20349884,8.636024475,7.799105167,9.187314034,10.26221275
02/01/2020 14:30,9.275440216,8.637495041,8.680433273,9.139446259,10.23285866
02/01/2020 14:45,9.360957146,8.638949394,7.799380779,9.188414574,10.08264732
02/01/2020 15:00,9.246999741,8.640388489,8.189998627,9.138239861,10.13965607
02/01/2020 15:15,9.201683998,8.641815186,7.798791409,9.189504623,10.17173958
02/01/2020 15:30,9.27502346,8.643229485,8.181105614,9.137038231,10.19631386
02/01/2020 15:45,9.329696655,8.644632339,7.799779415,9.190617561,10.21691704
02/01/2020 16:00,9.207025528,8.646022797,8.172057152,9.135818481,10.23454094
02/01/2020 16:15,9.220039368,8.648084641,7.802679062,9.247668266,10.25774193
02/01/2020 16:30,9.311779022,8.650125504,8.792845726,9.192001343,10.24129581
02/01/2020 16:45,9.304655075,8.652112961,7.803424835,9.127432823,10.10706234
02/01/2020 17:00,9.141898155,8.654028893,8.289479256,9.150490761,10.16704464
