,CSO_Pump_2,CSO_Pump_21,p10_1,p_2_1,p_20_2,p_21_2
2020-02-21 04:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 04:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 04:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 05:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 05:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 05:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 05:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 06:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 06:15:00,1.0,1.0,0.7204737896253602,1.0,1.0,1.0
2020-02-21 06:30:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 06:45:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 07:00:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 07:15:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 07:30:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 07:45:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 08:00:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 08:15:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 08:30:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 08:45:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 09:00:00,1.0,1.0,0.7204635158501441,1.0,1.0,1.0
2020-02-21 09:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 09:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 09:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 10:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 10:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 10:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 10:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 11:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 11:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 11:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 11:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 12:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 12:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 12:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 12:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 13:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 13:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 13:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 13:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 14:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 14:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 14:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 14:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 15:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 15:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 15:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 15:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 16:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 16:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 16:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 16:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 17:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 17:15:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 17:30:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 17:45:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 18:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-21 18:15:00,1.0,1.0,0.14409255043227667,1.0,1.0,0.0
2020-02-21 18:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 18:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 19:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 19:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 19:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 19:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 20:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 20:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 20:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 20:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 21:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 21:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 21:30:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 21:45:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 22:00:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 22:15:00,1.0,1.0,0.14409461095100867,1.0,1.0,0.0
2020-02-21 22:30:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-21 22:45:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-21 23:00:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-21 23:15:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-21 23:30:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
2020-02-21 23:45:00,1.0,1.0,0.14409461095100867,1.0,0.0,0.0
