,index,Unnamed: 0,relatie_code,storing_idnummer,storing_melddatum,storing_medium,storing_materiaal,storing_type,storing_type_hulpstuk,storing_aanlegjaar,storing_wanddikte,storing_diameter,storing_bomen,storing_relining,storing_relining_jaar,storing_kathodische_bescherming,storing_pmax,storing_pdifference,storing_lengte_scheur,storing_grond_dekking,storing_verkeersdrempels,storing_drempelafstand,storing_verschijningsvorm,storing_bescherminginwendig,storing_soortoorzaak,storing_oorzaak1spontanestoring,storing_oorzaak2spontanestoring,storing_oorzaakinternebedrijfsvoering,storing_storendobject,Unnamed: 29,age_at_failure,construction_year_vs_graph_year
1288,102,1520,A,-,2014-08-20 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1958-01-01,,150.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,56.63244353182751,61.998631074606436
1289,103,171,C,-,2014-02-02 00:00:00,-,MAT_PVC,TYP_TRV_STEEK,-,1964-01-01,5,151.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,-,-,ORZ_SPONTAAN,,,,BUIS,,50.08898015058179,56.0
1292,106,2235,C,-,2014-12-01 00:00:00,-,MAT_GG,TYP_LMOF,-,1956-01-01,13,300.0,BOM_ONB,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,-,BI_GG_GEEN,ORZ_SPONTAAN,,,,BUIS,,58.91581108829569,64.0
1293,107,249,A,-,2014-02-12 00:00:00,-,MAT_PVC,-,-,2004-01-01,4.2,110.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,10.116358658453114,16.0
1294,108,2392,C,-,2014-12-27 00:00:00,-,MAT_GG,TYP_LMOF,-,1950-01-01,10,125.0,BOM_ONB,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,-,BI_GG_GEEN,ORZ_SPONTAAN,,,,BUIS,,64.98562628336755,69.99863107460644
1295,109,1161,B,-,2014-07-07 00:00:00,-,MAT_GG,-,-,1960-01-01,,150.0,BOM_NEE,-,-1,BU_GG_ONB,-1,-1,-,-,-,-,BUIS_LENGTES,BI_GG_ONB,ORZ_SPONTAAN,,,,BUIS,,54.51334702258727,60.0
1296,110,1563,A,-,2014-08-26 00:00:00,-,MAT_AC,-,-,1984-01-01,12,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,30.650239561943874,36.0
1297,111,657,B,-,2014-04-28 00:00:00,-,MAT_ST,TYP_LMOF,-,1949-01-01,,100.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_AND,-,ORZ_SPONTAAN,,,,VERB,,65.31964407939768,70.99794661190965
1299,113,876,A,-,2014-05-30 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1955-01-01,,150.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AFD,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,ORZ_SPON2_AANT,,VERB,,59.408624229979466,64.99931553730322
1300,114,982,B,-,2014-06-14 00:00:00,-,MAT_ST,-,-,1966-01-01,,100.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,48.44900752908966,53.998631074606436
