;relatie_code;storing_idnummer;storing_melddatum;storing_medium;storing_materiaal;storing_type;storing_type_hulpstuk;storing_aanlegjaar;storing_wanddikte;storing_diameter;storing_bomen;storing_relining;storing_relining_jaar;storing_kathodische_bescherming;storing_pmax;storing_pdifference;storing_lengte_scheur;storing_grond_dekking;storing_verkeersdrempels;storing_drempelafstand;storing_verschijningsvorm;storing_bescherminginwendig;storing_soortoorzaak;storing_oorzaak1spontanestoring;storing_oorzaak2spontanestoring;storing_oorzaakinternebedrijfsvoering;storing_storendobject;Unnamed: 29
12;B;-;2014-01-03;-;MAT_AC;-;-;1962;;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
515;B;-;2014-03-31;-;MAT_ST;-;-;1965;;100;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
682;B;-;2014-04-30;-;MAT_ST;-;-;1949;;100;BOM_JA;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;;;;BUIS;
2183;B;-;2014-11-24;-;MAT_AC;-;-;1967;10;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;ORZ_SPON2_AANT;;BUIS;
2387;A;-;2014-12-24;-;MAT_AC;-;-;1968;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
1252;C;-;2014-07-17;-;MAT_AC;TYP_AND;-;1957;15;150;BOM_ONB;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
500;A;-;2014-03-27;-;MAT_AC;-;-;1980;12;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
267;A;-;2014-02-14;-;MAT_PE;TYP_AND;-;1981;;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;VERB;
1302;A;-;2014-07-22;-;MAT_AC;TYP_NTRV_STEEK;-;1961;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_AFD;-;ORZ_SPONTAAN;ORZ_SPON1_AANT;ORZ_SPON2_AANT;;VERB;
1702;A;-;2014-09-15;-;MAT_AC;-;-;1989;25;300;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
696;A;-;2014-05-02;-;MAT_AC;-;-;1976;12;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1506;B;-;2014-08-18;-;MAT_AC;-;-;1981;;150;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
155;A;-;2014-01-31;-;MAT_PE_AND;TYP_NTRV_STEEK;-;1978;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
425;A;-;2014-03-14;-;MAT_PVC;-;-;1978;2;63;BOM_JA;-;-1;-;-1;-1;-;-;-;-;BUIS_PUNTLEK;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
178;B;-;2014-02-03;-;MAT_GG;-;-;1951;;100;BOM_NEE;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_ONB;ORZ_SPONTAAN;;;;BUIS;
1893;A;-;2014-10-09;-;MAT_PVC;TYP_NTRV_STEEK;-;2000;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_INTERN;;;ORZ_INT_AANLEG;VERB;
278;A;-;2014-02-14;-;MAT_GG;-;-;1964;10;150;BOM_NEE;-;-1;BU_GG_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;BI_GG_ONB;ORZ_EXTERN;;;;BUIS;
2166;A;-;2014-11-21;-;MAT_AC;TYP_NTRV_STEEK;-;1956;;100;BOM_JA;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1660;B;-;2014-09-09;-;MAT_AC;-;-;1954;;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
541;A;-;2014-04-02;-;MAT_GG;-;-;1967;10;100;BOM_JA;-;-1;BU_GG_ONB;-1;-1;-;-;-;-;BUIS_AND;BI_GG_ONB;ORZ_SPONTAAN;;;;BUIS;
208;A;-;2014-02-06;-;MAT_AC;-;-;1982;12;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
995;C;-;2014-06-16;-;MAT_PVC;TYP_AND;-;1989;;45;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
704;A;-;2014-05-05;-;MAT_AC;-;-;1976;12;100;BOM_NEE;-;-1;BU_AC_TEBIT;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
996;C;-;2014-06-16;-;MAT_PVC;TYP_AND;-;1989;;45;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
1776;C;-;2014-09-25;-;MAT_GG;TYP_LMOF;-;1955;12;225;BOM_ONB;-;-1;BU_GG_BIT;-1;-1;-;-;-;-;-;BI_GG_GEEN;ORZ_SPONTAAN;;;;BUIS;
2343;A;-;2014-12-16;-;MAT_AC;-;-;1975;12;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
2099;A;-;2014-11-10;-;MAT_NG;TYP_TRV_STEEK;-;2010;;150;BOM_NEE;-;-1;BU_NG_PE;-1;-1;-;-;-;-;VERB_AFD;BI_NG_CL;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
495;B;-;2014-03-26;-;MAT_AC;-;-;1964;14;100;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_SCHERF;-;ORZ_SPONTAAN;;;;BUIS;
78;C;-;2014-01-17;-;MAT_PVC;TYP_TRV_STEEK;-;1969;4;118;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
569;A;-;2014-04-07;-;MAT_AC;-;-;1968;;100;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_EXTERN;;;;VERB;
1341;B;-;2014-07-26;-;MAT_AC;-;-;1990;;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
592;A;-;2014-04-10;-;MAT_PVC;-;-;1961;2;63;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
377;B;-;2014-03-06;-;MAT_AC;-;-;1972;14;100;BOM_JA;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
1474;C;-;2014-08-13;-;MAT_NG;TYP_AND;-;2008;9;204;BOM_ONB;-;-1;BU_NG_ONB;-1;-1;-;-;-;-;-;BI_NG_CL;ORZ_SPONTAAN;;;;BUIS;
526;A;-;2014-04-01;-;MAT_PVC;TYP_NTRV_STEEK;-;1965;;110;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHUIF;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1770;B;-;2014-09-25;-;MAT_AC;-;-;1984;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
1362;A;-;2014-07-29;-;MAT_AC;TYP_NTRV_STEEK;-;1973;;250;BOM_NEE;-;-1;-;-1;-1;-;-;-;-;VERB_SCHEUR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;VERB;
1658;C;-;2014-09-09;-;MAT_PVC;TYP_TRV_STEEK;-;1970;12;377;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
934;B;-;2014-06-08;-;MAT_AC;-;-;1985;;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;ORZ_SPON1_UITWBEL;;;BUIS;
650;B;-;2014-04-26;-;MAT_ST;-;-;1954;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
717;A;-;2014-05-07;-;MAT_AC;-;-;1959;12;100;BOM_JA;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_EXTERN;;;;BUIS;
685;B;-;2014-05-01;-;MAT_AC;-;-;1974;;100;BOM_NEE;-;-1;BU_AC_GEEN;-1;-1;-;-;-;-;BUIS_RONDBR;-;ORZ_SPONTAAN;;;;BUIS;
1084;B;-;2014-06-26;-;MAT_ST;-;-;1960;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
873;B;-;2014-05-29;-;MAT_ST;-;-;1963;;200;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_AND;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
630;C;-;2014-04-22;-;MAT_PVC;TYP_TRV_STEEK;-;2007;6;188;BOM_ONB;-;-1;-;-1;-1;-;-;-;-;-;-;ORZ_SPONTAAN;;;;BUIS;
512;B;-;2014-03-29;-;MAT_AC;-;-;1971;;100;BOM_NEE;-;-1;BU_AC_ONB;-1;-1;-;-;-;-;BUIS_LENGTES;-;ORZ_SPONTAAN;;;;BUIS;
1280;B;-;2014-07-19;-;MAT_ST;-;-;1956;;80;BOM_NEE;-;-1;BU_ST_BIT;-1;-1;-;-;-;-;BUIS_PUNTLEK;BI_ST_ONB;ORZ_SPONTAAN;ORZ_SPON1_AANT;;;BUIS;
